Core,Workstream,Audiences ,Learning categories / Playbook Chapter Title,Asset Name,Description ,Asset type (drop-down),Asset Format,Staging Location,Future / Permenant Storage Location.,Dissemination Method (define if linked or described in playbook)
Testing Core,(unknown),Academic & Community Audience,Testing,Best Practices for Design of Accessible COVID-19 Home Tests,"This comprehensive Best Practices document details recommendations for test designers and manufacturers to create user-friendly and accessible COVID-19 home tests. While the initial focus is on COVID-19 testing, the ergonomic and accessible design principles outlined can also be applied to home tests for other diseases and conditions",4) Recommendation or guidance,Web Content,N/A,https://www.access-board.gov/news/2023/07/27/national-institutes-of-health-nih-radx-tech-publishes-comprehensive-best-practices-for-the-design-of-accessible-covid-19-home-tests/,Playbook (linked) 
Data Core,CDE Data,Academic Audience,Data Collection and Storage ,CDE / Data Submission Guidelines,"The conformance guidelines document offers anyone wishing to use the REDCap CDE codebooks guidelines on how to properly format their data. Some of the information is specific to our ingestion process, but much of it is also related to how to format data so that is conforms to the codebooks and is very useful for data managers who may have less experience with data management or those who are not familiar with REDCap data formats. ",5) Reference/tool,Website,https://duke.box.com/s/hgf4glt4j0kj01279c9fstd7n4rgecum,NIH RADx Data Hub,Playbook (linked)
Admin Core,Abacus Tracking & Evaluation,NIH (Funder) Audience,Program Evaluation ,"RADx-UP Program Evaluation
Project Implementation Survey: Baseline Results","This report describes the qualitative and quantitative findings from 84 projects that completed the baseline RADx-UP Project Implementation Survey. This report presents survey findings from projects (n=84/61% response rate) on: •COVID-19 testing and vaccination implementation  activities, successes and challenges.  
•Partnerships & community engagement activities, successes and challenges •Data collection, analysis & dissemination •Broader project outcomes, impacts and sustainability",5) Reference/tool,PDF Document,https://duke.box.com/s/9t3x9n140y3j8e6cwit79k3pta9so3l8,NIH RADx Data Hub,
Admin Core,Abacus Tracking & Evaluation,Academic Audience,Program Evaluation ,RADx-UP Program Evaluation: Qualitative Evaluation Report,"This is a full report of evaluation findings from interviews of sampled Projects' academic and community partners. Translational Science Benefits Model (TSBM) and RE-AIM frameworks were used to assess projects’ clinical accomplishments, community benefits, policy implications, projects’ perceptions of their reach, implementation strategies, and maintenance (or sustainability). The report provides findings of how community-academic partnerships were imporant to strengthen public health preparedness and capacity.  The report also categorizes the successes, challenges, and lessons learned reported from projects in  conducting their work/addressing health equity that could support best practices and recommendations to academic partners on developing/sustaining commuty partnerships.",4) Recommendation or guidance,PDF Document,https://duke.box.com/s/kv6f65xt2iksc9b7br9bgfq6w80na9l6,NIH RADx Data Hub,
Admin Core,Abacus Tracking & Evaluation,NIH (Funder) Audience,Program Evaluation ,Dimensions of Community Inclusion in Research: Using Evaluation to Improve Community Engagement Across the Research Design-to-Dissemination Continuum,This 2022 APHA Conference Poster describes how evaluators can use a combination of analytical approaches to assess community engagement in research through: a) Interviews with community partners b) Community engagement methods for research c) Community coauthorship d) Acknowledgment of community partners & research participants. This conference poster can be used to support guidance/recommendations for funders and evaluators of complex community-engaged public health initiatives on the importance and potential methods of tracking and assessing how community partners are included and supported as part of efforts to strengthen community inclusion in research dissemination.,5) Reference/tool,PDF Document,N/A,https://cdr.lib.unc.edu/concern/scholarly_works/w3763h44b,
Admin Core,Abacus Tracking & Evaluation,NIH (Funder) Audience,Program Evaluation ,Structured purpose: Implementing Python in Purposive Sample Selection for Evaluation Interviews,"This conference poster demonstrates the implementation of Python-based programming code to select participants for qualitative evaluation using RADx-UP as a case example. The code maximized sample diversity and prioritized projects addressing multiple populations concurrently. We explain the generation of the code and make it available in Carolina Digital Repository. The Python code provides a more structured method of purposive sampling for evaluation interviews, provided there are known characteristics of a population of participants • Tracking & evaluation teams can rank conditions for a sample of evaluation projects
from most important to least important. This is a useful tool for efficient selection of a sample of projects in a large initiative.",5) Reference/tool,Poster,N/A,https://cdr.lib.unc.edu/concern/scholarly_works/fn107794s?locale=en,
Community Engagement Core,Scientific Meeting,Academic & Community Audience,Communications and Dissemination , Scientific Meeting presentation video: Cherokee PROTECT ,"This 20 minute video highlights a presentation by Dr. Sohail Kahn of Cherokee Nation and Dr. Amanda Janitz from University of Oklahoma Health Sciences Center on May 3rd, 2022 presented at the RADx-UP Scientific Meeting. ",5) Reference/tool,Video,https://duke.box.com/s/0lvk9azppl57mjbg9e2bf5fn5vgsj16p,https://youtu.be/wkXCxAE56LU,Playbook (linked)
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,#Vax4Community,"#Vax4Community is a social marketing campaign to build vaccine confidence and use and reduce health disparities in New York City. The campaign is anchored by personal vaccine stories of real New Yorkers, who describe their reasons for getting vaccinated. With CDC funding secured by the NYU-CUNY PRC, the consortium of RADx-UP, NYCEAL and PRC programs partnered with The StoryCenter, a California-based organization that specializes in digital storytelling, to develop short stories of members in three NYC communities that are underserved in the COVID-19 pandemic: minority youth living in public housing, South Asians, and justice-involved populations. These videos, produced using voice, music, and images, including personal photography, are emotionally engaging and personally relatable, especially when shared with other members of the same community. Good example of culturally tailored communications campaign",6) Other,Video,https://youtube.com/playlist?list=PL_xSEGUfeJsfy_iDaNKzIY0EnT3lqe0rK,https://youtube.com/playlist?list=PL_xSEGUfeJsfy_iDaNKzIY0EnT3lqe0rK,Playbook (linked)
Services,Communications,Academic Audience,Communications and Dissemination ,RADx-UP CDCC Data Visualization Style Guide,"Data Visualization Guidance including colors, fonts, formats, and a reference tool for picking the right visualization for your data.",4) Recommendation or guidance,PDF Document,https://duke.box.com/s/xbkcb46dgfb3xysftxy6lwpau1xp98my,https://nam12.safelinks.protection.outlook.com/?url=https%3A%2F%2Fduke.box.com%2Fs%2Fwu6bo8l66xsgba9nz4nw843u0agx0nr6&data=05%7C02%7C%7Ce4cfa91110bb4a30b10908dc53f74a4f%7C58b3d54f16c942d3af081fcabd095666%7C1%7C0%7C638477568784696718%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=ouij5sxxsWgsIX8xPxrAswZ1Yh1KcTahR5EoMREqLZk%3D&reserved=0,Playbook (appendix) 
Services,Communications,Community Audience,Communications and Dissemination ,Community Engagement Brief,"6 page communty engagement process, infrastructure and methods",5) Reference/tool,PDF Document,https://duke.box.com/s/2hf2uxkd84sm93y29vmvk88ilklj48fy,NIH RADx Data Hub,
